epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,104.588,0.60542,0.50342,0.92383,0.72315,0.74757,0.75099,0.53646,1.25127,1.39373,1.55919,0.000509011,0.000509011,0.000509011
60,106.217,0.60717,0.48118,0.89787,0.76678,0.80712,0.76681,0.54357,1.26529,1.37243,1.62684,0.000505476,0.000505476,0.000505476
61,107.825,0.59163,0.48185,0.92259,0.76678,0.80712,0.76681,0.54357,1.26529,1.37243,1.62684,0.000501942,0.000501942,0.000501942
62,109.591,0.65362,0.53804,0.93583,0.77607,0.80609,0.77968,0.55676,1.27268,1.29981,1.67118,0.000498408,0.000498408,0.000498408
63,111.276,0.65741,0.50729,0.96667,0.74729,0.79879,0.80257,0.55886,1.26902,1.23643,1.66043,0.000494873,0.000494873,0.000494873
64,112.983,0.60092,0.4882,0.92969,0.73647,0.82054,0.80308,0.54244,1.27835,1.14494,1.6145,0.000491339,0.000491339,0.000491339
65,114.599,0.58956,0.47423,0.93166,0.73647,0.82054,0.80308,0.54244,1.27835,1.14494,1.6145,0.000487805,0.000487805,0.000487805
66,116.291,0.58952,0.46808,0.90789,0.75772,0.80246,0.80151,0.56778,1.25099,0.99354,1.55135,0.000484271,0.000484271,0.000484271
67,117.917,0.54926,0.44513,0.90101,0.70071,0.76056,0.78116,0.55344,1.30279,1.0938,1.55641,0.000480736,0.000480736,0.000480736
68,119.621,0.606,0.4565,0.93178,0.71192,0.72341,0.75983,0.52812,1.3082,1.22795,1.56622,0.000477202,0.000477202,0.000477202
69,121.207,0.57254,0.44276,0.90415,0.71192,0.72341,0.75983,0.52812,1.3082,1.22795,1.56622,0.000473668,0.000473668,0.000473668
70,122.865,0.6186,0.48392,0.97682,0.72786,0.74444,0.75395,0.54013,1.24786,1.16087,1.53977,0.000470133,0.000470133,0.000470133
71,124.46,0.59109,0.45374,0.93806,0.6487,0.80706,0.78913,0.57257,1.28743,1.13268,1.55286,0.000466599,0.000466599,0.000466599
72,126.128,0.60139,0.46803,0.91212,0.68618,0.72778,0.74796,0.52723,1.37633,1.17382,1.60864,0.000463065,0.000463065,0.000463065
73,127.726,0.5559,0.46747,0.93992,0.68618,0.72778,0.74796,0.52723,1.37633,1.17382,1.60864,0.00045953,0.00045953,0.00045953
74,129.406,0.59305,0.47589,0.91135,0.70378,0.80219,0.76895,0.54054,1.37302,1.14074,1.61882,0.000455996,0.000455996,0.000455996
75,131.044,0.58583,0.47281,0.91076,0.71423,0.81083,0.77471,0.52717,1.32532,1.1867,1.58799,0.000452462,0.000452462,0.000452462
76,132.695,0.53265,0.44965,0.92215,0.70938,0.88927,0.80633,0.55775,1.24897,1.09021,1.56773,0.000448928,0.000448928,0.000448928
77,134.343,0.58521,0.46015,0.92688,0.70938,0.88927,0.80633,0.55775,1.24897,1.09021,1.56773,0.000445393,0.000445393,0.000445393
78,136.012,0.58325,0.47667,0.94188,0.71256,0.88611,0.79983,0.55281,1.2547,1.03109,1.59297,0.000441859,0.000441859,0.000441859
79,137.631,0.56589,0.45039,0.88266,0.79686,0.81732,0.81171,0.55631,1.27217,1.00092,1.61206,0.000438325,0.000438325,0.000438325
80,139.364,0.56466,0.41753,0.91679,0.79125,0.81533,0.79524,0.54502,1.30146,1.13855,1.65301,0.00043479,0.00043479,0.00043479
